iteration,epoch,loss,accuracy
1.000000,0.000198,0.695607,0.500000
2.000000,0.000396,0.694366,0.507812
3.000000,0.000594,0.696006,0.498047
4.000000,0.000792,0.704135,0.437500
5.000000,0.000990,0.690498,0.537109
6.000000,0.001189,0.698131,0.482422
7.000000,0.001387,0.700158,0.464844
8.000000,0.001585,0.690535,0.531250
9.000000,0.001783,0.696380,0.496094
10.000000,0.001981,0.692698,0.521484
11.000000,0.002179,0.696784,0.490234
12.000000,0.002377,0.693941,0.511719
13.000000,0.002575,0.697075,0.488281
14.000000,0.002773,0.697797,0.484375
15.000000,0.002971,0.694744,0.505859
16.000000,0.003170,0.699572,0.468750
17.000000,0.003368,0.694911,0.507812
18.000000,0.003566,0.693101,0.513672
19.000000,0.003764,0.693417,0.513672
20.000000,0.003962,0.697374,0.486328
21.000000,0.004160,0.693016,0.521484
22.000000,0.004358,0.696564,0.488281
23.000000,0.004556,0.692911,0.521484
24.000000,0.004754,0.693979,0.507812
25.000000,0.004952,0.695435,0.500000
26.000000,0.005151,0.694253,0.505859
27.000000,0.005349,0.695747,0.498047
28.000000,0.005547,0.694836,0.501953
29.000000,0.005745,0.699081,0.470703
30.000000,0.005943,0.695751,0.496094
31.000000,0.006141,0.697154,0.484375
32.000000,0.006339,0.692006,0.525391
33.000000,0.006537,0.694378,0.507812
34.000000,0.006735,0.689305,0.546875
35.000000,0.006933,0.692242,0.521484
36.000000,0.007132,0.693559,0.513672
37.000000,0.007330,0.693666,0.511719
38.000000,0.007528,0.696199,0.492188
39.000000,0.007726,0.694242,0.505859
40.000000,0.007924,0.692507,0.519531
41.000000,0.008122,0.690083,0.541016
42.000000,0.008320,0.697195,0.482422
43.000000,0.008518,0.696639,0.484375
44.000000,0.008716,0.697712,0.472656
45.000000,0.008914,0.694575,0.501953
46.000000,0.009113,0.697810,0.472656
47.000000,0.009311,0.691727,0.525391
48.000000,0.009509,0.691423,0.529297
49.000000,0.009707,0.697036,0.480469
50.000000,0.009905,0.698956,0.460938
51.000000,0.010103,0.695660,0.490234
52.000000,0.010301,0.693815,0.505859
53.000000,0.010499,0.693300,0.513672
54.000000,0.010697,0.692579,0.519531
55.000000,0.010895,0.695752,0.492188
56.000000,0.011094,0.695867,0.486328
57.000000,0.011292,0.695271,0.494141
58.000000,0.011490,0.690422,0.539062
59.000000,0.011688,0.691987,0.523438
60.000000,0.011886,0.689949,0.542969
61.000000,0.012084,0.694288,0.503906
62.000000,0.012282,0.692757,0.511719
63.000000,0.012480,0.690733,0.539062
64.000000,0.012678,0.691435,0.531250
