iteration,epoch,loss,accuracy
1.000000,0.000198,0.694141,0.476562
2.000000,0.000396,0.693274,0.500000
3.000000,0.000594,0.692806,0.509766
4.000000,0.000792,0.692787,0.517578
5.000000,0.000990,0.693243,0.492188
6.000000,0.001189,0.692207,0.531250
7.000000,0.001387,0.692508,0.535156
8.000000,0.001585,0.693532,0.488281
9.000000,0.001783,0.692672,0.527344
10.000000,0.001981,0.692915,0.503906
11.000000,0.002179,0.693437,0.488281
12.000000,0.002377,0.693488,0.492188
13.000000,0.002575,0.693043,0.511719
14.000000,0.002773,0.692783,0.521484
15.000000,0.002971,0.693895,0.474609
16.000000,0.003170,0.693789,0.482422
17.000000,0.003368,0.694031,0.476562
18.000000,0.003566,0.692939,0.515625
19.000000,0.003764,0.693512,0.490234
20.000000,0.003962,0.693608,0.492188
21.000000,0.004160,0.693280,0.478516
22.000000,0.004358,0.693569,0.496094
23.000000,0.004556,0.692839,0.511719
24.000000,0.004754,0.692520,0.527344
25.000000,0.004952,0.693547,0.500000
26.000000,0.005151,0.693101,0.505859
27.000000,0.005349,0.693207,0.501953
28.000000,0.005547,0.692477,0.515625
29.000000,0.005745,0.692923,0.511719
30.000000,0.005943,0.693681,0.482422
31.000000,0.006141,0.693151,0.486328
32.000000,0.006339,0.692579,0.525391
33.000000,0.006537,0.694000,0.482422
34.000000,0.006735,0.692656,0.529297
35.000000,0.006933,0.692938,0.511719
36.000000,0.007132,0.693448,0.496094
37.000000,0.007330,0.693214,0.503906
38.000000,0.007528,0.693074,0.494141
39.000000,0.007726,0.693433,0.503906
40.000000,0.007924,0.693254,0.507812
41.000000,0.008122,0.692956,0.511719
42.000000,0.008320,0.693240,0.478516
43.000000,0.008518,0.693662,0.453125
44.000000,0.008716,0.693306,0.498047
45.000000,0.008914,0.694426,0.455078
46.000000,0.009113,0.693121,0.498047
47.000000,0.009311,0.693521,0.468750
48.000000,0.009509,0.693290,0.490234
49.000000,0.009707,0.693208,0.511719
50.000000,0.009905,0.691892,0.539062
51.000000,0.010103,0.693303,0.494141
52.000000,0.010301,0.692718,0.535156
53.000000,0.010499,0.693713,0.462891
54.000000,0.010697,0.692607,0.507812
55.000000,0.010895,0.693088,0.533203
56.000000,0.011094,0.693126,0.494141
57.000000,0.011292,0.692687,0.511719
58.000000,0.011490,0.692645,0.531250
59.000000,0.011688,0.693628,0.513672
60.000000,0.011886,0.693458,0.505859
61.000000,0.012084,0.692722,0.517578
62.000000,0.012282,0.692535,0.503906
63.000000,0.012480,0.693078,0.498047
64.000000,0.012678,0.693667,0.494141
65.000000,0.012876,0.693876,0.476562
66.000000,0.013074,0.692744,0.494141
67.000000,0.013273,0.693178,0.517578
68.000000,0.013471,0.692678,0.503906
69.000000,0.013669,0.693048,0.490234
70.000000,0.013867,0.692695,0.488281
71.000000,0.014065,0.693376,0.511719
72.000000,0.014263,0.692114,0.525391
73.000000,0.014461,0.692897,0.496094
74.000000,0.014659,0.694032,0.484375
75.000000,0.014857,0.693219,0.531250
76.000000,0.015055,0.692535,0.482422
77.000000,0.015254,0.692568,0.509766
78.000000,0.015452,0.694001,0.460938
79.000000,0.015650,0.691943,0.533203
80.000000,0.015848,0.692921,0.488281
81.000000,0.016046,0.692574,0.521484
82.000000,0.016244,0.693219,0.496094
83.000000,0.016442,0.694426,0.476562
84.000000,0.016640,0.692582,0.527344
85.000000,0.016838,0.693925,0.513672
86.000000,0.017036,0.693276,0.515625
87.000000,0.017235,0.693205,0.521484
88.000000,0.017433,0.693166,0.517578
89.000000,0.017631,0.694092,0.523438
90.000000,0.017829,0.692218,0.521484
91.000000,0.018027,0.693639,0.513672
92.000000,0.018225,0.693164,0.511719
93.000000,0.018423,0.692651,0.541016
94.000000,0.018621,0.692381,0.492188
95.000000,0.018819,0.692425,0.478516
96.000000,0.019017,0.693564,0.509766
97.000000,0.019216,0.694468,0.488281
98.000000,0.019414,0.694111,0.507812
99.000000,0.019612,0.692799,0.519531
100.000000,0.019810,0.692647,0.521484
101.000000,0.020008,0.692853,0.496094
102.000000,0.020206,0.692957,0.525391
103.000000,0.020404,0.692752,0.519531
104.000000,0.020602,0.694838,0.457031
105.000000,0.020800,0.692723,0.501953
106.000000,0.020998,0.693168,0.494141
107.000000,0.021197,0.693334,0.531250
108.000000,0.021395,0.693888,0.490234
109.000000,0.021593,0.693150,0.492188
110.000000,0.021791,0.692551,0.515625
111.000000,0.021989,0.693409,0.472656
112.000000,0.022187,0.693097,0.513672
113.000000,0.022385,0.692769,0.521484
114.000000,0.022583,0.693298,0.505859
115.000000,0.022781,0.692241,0.517578
116.000000,0.022979,0.692466,0.541016
117.000000,0.023177,0.692602,0.515625
118.000000,0.023376,0.691824,0.548828
119.000000,0.023574,0.692833,0.509766
120.000000,0.023772,0.692611,0.517578
121.000000,0.023970,0.693674,0.498047
122.000000,0.024168,0.692445,0.515625
123.000000,0.024366,0.692948,0.505859
124.000000,0.024564,0.693802,0.498047
125.000000,0.024762,0.693037,0.507812
126.000000,0.024960,0.692799,0.523438
127.000000,0.025158,0.693709,0.498047
128.000000,0.025357,0.691763,0.523438
129.000000,0.025555,0.694554,0.476562
130.000000,0.025753,0.691757,0.523438
131.000000,0.025951,0.692326,0.517578
132.000000,0.026149,0.693140,0.513672
133.000000,0.026347,0.693937,0.492188
134.000000,0.026545,0.693721,0.482422
135.000000,0.026743,0.693223,0.519531
136.000000,0.026941,0.692634,0.519531
137.000000,0.027139,0.693858,0.480469
138.000000,0.027338,0.693691,0.478516
139.000000,0.027536,0.692724,0.519531
140.000000,0.027734,0.693108,0.513672
141.000000,0.027932,0.692672,0.535156
142.000000,0.028130,0.691939,0.523438
143.000000,0.028328,0.693307,0.496094
144.000000,0.028526,0.693054,0.509766
145.000000,0.028724,0.692597,0.529297
146.000000,0.028922,0.693481,0.492188
147.000000,0.029120,0.692275,0.529297
148.000000,0.029319,0.694234,0.480469
149.000000,0.029517,0.692858,0.496094
150.000000,0.029715,0.692518,0.517578
151.000000,0.029913,0.692238,0.501953
152.000000,0.030111,0.693236,0.511719
153.000000,0.030309,0.692098,0.527344
154.000000,0.030507,0.693528,0.496094
155.000000,0.030705,0.693364,0.464844
156.000000,0.030903,0.690958,0.539062
157.000000,0.031101,0.693156,0.488281
158.000000,0.031300,0.692814,0.533203
159.000000,0.031498,0.693201,0.507812
160.000000,0.031696,0.692910,0.521484
161.000000,0.031894,0.692783,0.519531
162.000000,0.032092,0.691086,0.537109
163.000000,0.032290,0.692669,0.513672
164.000000,0.032488,0.692324,0.525391
165.000000,0.032686,0.693296,0.527344
166.000000,0.032884,0.691188,0.535156
167.000000,0.033082,0.692604,0.525391
168.000000,0.033281,0.691811,0.521484
169.000000,0.033479,0.692909,0.503906
170.000000,0.033677,0.691885,0.525391
171.000000,0.033875,0.693597,0.482422
172.000000,0.034073,0.693096,0.503906
173.000000,0.034271,0.693138,0.492188
174.000000,0.034469,0.692086,0.533203
175.000000,0.034667,0.693084,0.484375
176.000000,0.034865,0.693084,0.527344
177.000000,0.035063,0.693655,0.515625
178.000000,0.035261,0.693050,0.500000
179.000000,0.035460,0.691552,0.527344
180.000000,0.035658,0.693543,0.505859
181.000000,0.035856,0.695996,0.457031
182.000000,0.036054,0.691977,0.531250
183.000000,0.036252,0.692777,0.505859
184.000000,0.036450,0.692057,0.521484
185.000000,0.036648,0.693435,0.511719
186.000000,0.036846,0.694008,0.505859
187.000000,0.037044,0.694407,0.494141
188.000000,0.037242,0.692780,0.515625
189.000000,0.037441,0.693755,0.513672
190.000000,0.037639,0.693330,0.503906
191.000000,0.037837,0.694327,0.490234
192.000000,0.038035,0.692908,0.496094
193.000000,0.038233,0.693020,0.503906
194.000000,0.038431,0.693472,0.462891
195.000000,0.038629,0.694079,0.482422
196.000000,0.038827,0.694103,0.484375
197.000000,0.039025,0.693570,0.513672
198.000000,0.039223,0.693837,0.484375
199.000000,0.039422,0.693198,0.507812
200.000000,0.039620,0.692417,0.517578
201.000000,0.039818,0.693121,0.498047
202.000000,0.040016,0.692893,0.503906
203.000000,0.040214,0.693776,0.490234
204.000000,0.040412,0.692637,0.509766
205.000000,0.040610,0.690709,0.558594
206.000000,0.040808,0.693436,0.486328
207.000000,0.041006,0.692168,0.501953
208.000000,0.041204,0.692792,0.517578
209.000000,0.041403,0.693638,0.470703
210.000000,0.041601,0.691562,0.535156
211.000000,0.041799,0.692857,0.509766
212.000000,0.041997,0.693780,0.500000
213.000000,0.042195,0.692304,0.527344
214.000000,0.042393,0.693695,0.498047
215.000000,0.042591,0.692509,0.511719
216.000000,0.042789,0.692293,0.546875
217.000000,0.042987,0.692813,0.484375
218.000000,0.043185,0.693158,0.494141
219.000000,0.043384,0.692783,0.494141
220.000000,0.043582,0.692028,0.503906
221.000000,0.043780,0.694130,0.494141
222.000000,0.043978,0.692693,0.529297
223.000000,0.044176,0.693001,0.515625
224.000000,0.044374,0.693056,0.513672
225.000000,0.044572,0.692591,0.501953
226.000000,0.044770,0.692253,0.529297
227.000000,0.044968,0.692641,0.517578
228.000000,0.045166,0.691995,0.535156
229.000000,0.045365,0.691968,0.494141
230.000000,0.045563,0.693610,0.488281
231.000000,0.045761,0.694253,0.470703
232.000000,0.045959,0.692714,0.519531
233.000000,0.046157,0.693734,0.480469
234.000000,0.046355,0.692142,0.511719
235.000000,0.046553,0.692173,0.521484
236.000000,0.046751,0.693723,0.492188
237.000000,0.046949,0.692882,0.505859
238.000000,0.047147,0.694354,0.484375
239.000000,0.047345,0.691680,0.535156
