iteration,epoch,loss,accuracy
1.000000,0.000198,0.691022,0.533203
2.000000,0.000396,0.696530,0.480469
3.000000,0.000594,0.693884,0.505859
4.000000,0.000792,0.696755,0.478516
5.000000,0.000990,0.695359,0.490234
6.000000,0.001189,0.690083,0.544922
7.000000,0.001387,0.692153,0.523438
8.000000,0.001585,0.695972,0.482422
9.000000,0.001783,0.694024,0.503906
10.000000,0.001981,0.694757,0.494141
11.000000,0.002179,0.693058,0.513672
12.000000,0.002377,0.693288,0.509766
13.000000,0.002575,0.692962,0.513672
14.000000,0.002773,0.695898,0.478516
15.000000,0.002971,0.689414,0.552734
16.000000,0.003170,0.698891,0.445312
17.000000,0.003368,0.693321,0.509766
18.000000,0.003566,0.692837,0.515625
19.000000,0.003764,0.695697,0.480469
20.000000,0.003962,0.694245,0.496094
21.000000,0.004160,0.694196,0.494141
22.000000,0.004358,0.693064,0.509766
23.000000,0.004556,0.693813,0.501953
24.000000,0.004754,0.691599,0.529297
25.000000,0.004952,0.694067,0.494141
26.000000,0.005151,0.691708,0.521484
27.000000,0.005349,0.695550,0.478516
28.000000,0.005547,0.695818,0.474609
29.000000,0.005745,0.695560,0.476562
30.000000,0.005943,0.697243,0.447266
31.000000,0.006141,0.691195,0.537109
32.000000,0.006339,0.696407,0.470703
33.000000,0.006537,0.694800,0.486328
34.000000,0.006735,0.694829,0.490234
35.000000,0.006933,0.694387,0.498047
36.000000,0.007132,0.692255,0.515625
37.000000,0.007330,0.691496,0.527344
38.000000,0.007528,0.694306,0.488281
39.000000,0.007726,0.692513,0.511719
40.000000,0.007924,0.694557,0.480469
41.000000,0.008122,0.692489,0.517578
42.000000,0.008320,0.694729,0.478516
43.000000,0.008518,0.694515,0.478516
44.000000,0.008716,0.695981,0.462891
45.000000,0.008914,0.691703,0.527344
46.000000,0.009113,0.692202,0.519531
47.000000,0.009311,0.693299,0.500000
48.000000,0.009509,0.693910,0.494141
49.000000,0.009707,0.692516,0.509766
50.000000,0.009905,0.692450,0.496094
51.000000,0.010103,0.693570,0.500000
52.000000,0.010301,0.692360,0.494141
53.000000,0.010499,0.693905,0.482422
54.000000,0.010697,0.690829,0.548828
55.000000,0.010895,0.693807,0.498047
56.000000,0.011094,0.691117,0.533203
57.000000,0.011292,0.691604,0.527344
58.000000,0.011490,0.694029,0.486328
59.000000,0.011688,0.694351,0.509766
60.000000,0.011886,0.691361,0.539062
61.000000,0.012084,0.695294,0.480469
62.000000,0.012282,0.694754,0.492188
63.000000,0.012480,0.690848,0.546875
64.000000,0.012678,0.694103,0.492188
65.000000,0.012876,0.694537,0.486328
66.000000,0.013074,0.691799,0.515625
67.000000,0.013273,0.694762,0.482422
68.000000,0.013471,0.695266,0.488281
69.000000,0.013669,0.694291,0.496094
70.000000,0.013867,0.691852,0.539062
71.000000,0.014065,0.692915,0.498047
72.000000,0.014263,0.693988,0.470703
73.000000,0.014461,0.693254,0.507812
74.000000,0.014659,0.693635,0.494141
75.000000,0.014857,0.693835,0.501953
76.000000,0.015055,0.692514,0.498047
77.000000,0.015254,0.692637,0.515625
78.000000,0.015452,0.694456,0.492188
79.000000,0.015650,0.692151,0.539062
80.000000,0.015848,0.693222,0.513672
81.000000,0.016046,0.693881,0.505859
82.000000,0.016244,0.692420,0.548828
83.000000,0.016442,0.691687,0.517578
84.000000,0.016640,0.693185,0.478516
85.000000,0.016838,0.693111,0.501953
86.000000,0.017036,0.693100,0.507812
87.000000,0.017235,0.694513,0.496094
88.000000,0.017433,0.693609,0.525391
89.000000,0.017631,0.693667,0.494141
90.000000,0.017829,0.693406,0.507812
91.000000,0.018027,0.695131,0.460938
92.000000,0.018225,0.693184,0.462891
93.000000,0.018423,0.693321,0.523438
94.000000,0.018621,0.691067,0.541016
95.000000,0.018819,0.692331,0.484375
96.000000,0.019017,0.693812,0.501953
97.000000,0.019216,0.692096,0.511719
98.000000,0.019414,0.692799,0.500000
99.000000,0.019612,0.692212,0.503906
100.000000,0.019810,0.692484,0.494141
101.000000,0.020008,0.692336,0.515625
102.000000,0.020206,0.692356,0.501953
103.000000,0.020404,0.692351,0.525391
104.000000,0.020602,0.692443,0.486328
105.000000,0.020800,0.693224,0.509766
106.000000,0.020998,0.692280,0.490234
107.000000,0.021197,0.691964,0.513672
108.000000,0.021395,0.691539,0.535156
109.000000,0.021593,0.692566,0.513672
110.000000,0.021791,0.691624,0.513672
111.000000,0.021989,0.693779,0.496094
112.000000,0.022187,0.692428,0.480469
113.000000,0.022385,0.692118,0.537109
114.000000,0.022583,0.691107,0.500000
115.000000,0.022781,0.692901,0.501953
116.000000,0.022979,0.694665,0.505859
117.000000,0.023177,0.692239,0.509766
118.000000,0.023376,0.693916,0.525391
119.000000,0.023574,0.691771,0.523438
120.000000,0.023772,0.690577,0.529297
121.000000,0.023970,0.694139,0.535156
122.000000,0.024168,0.692769,0.539062
123.000000,0.024366,0.691552,0.503906
124.000000,0.024564,0.694634,0.484375
125.000000,0.024762,0.690113,0.515625
126.000000,0.024960,0.692640,0.501953
127.000000,0.025158,0.693113,0.513672
128.000000,0.025357,0.693430,0.498047
129.000000,0.025555,0.692710,0.488281
130.000000,0.025753,0.694909,0.492188
131.000000,0.025951,0.692253,0.544922
132.000000,0.026149,0.691284,0.503906
133.000000,0.026347,0.698406,0.470703
134.000000,0.026545,0.694387,0.531250
135.000000,0.026743,0.694710,0.541016
136.000000,0.026941,0.692348,0.501953
137.000000,0.027139,0.691982,0.509766
138.000000,0.027338,0.695954,0.503906
139.000000,0.027536,0.693999,0.505859
140.000000,0.027734,0.692076,0.511719
141.000000,0.027932,0.690057,0.548828
142.000000,0.028130,0.693537,0.472656
143.000000,0.028328,0.692359,0.482422
144.000000,0.028526,0.691307,0.537109
145.000000,0.028724,0.691233,0.566406
146.000000,0.028922,0.695075,0.527344
147.000000,0.029120,0.693502,0.482422
148.000000,0.029319,0.694755,0.480469
149.000000,0.029517,0.691069,0.515625
150.000000,0.029715,0.693485,0.490234
151.000000,0.029913,0.692873,0.498047
