iteration,epoch,loss,accuracy
1.000000,0.000198,0.708876,0.468750
2.000000,0.000396,0.695914,0.519531
3.000000,0.000594,0.700824,0.500000
4.000000,0.000792,0.705428,0.480469
5.000000,0.000990,0.707580,0.470703
6.000000,0.001189,0.704775,0.482422
7.000000,0.001387,0.707830,0.470703
8.000000,0.001585,0.701970,0.494141
9.000000,0.001783,0.699949,0.501953
10.000000,0.001981,0.695372,0.521484
11.000000,0.002179,0.701493,0.496094
12.000000,0.002377,0.704445,0.480469
13.000000,0.002575,0.701784,0.492188
14.000000,0.002773,0.705252,0.476562
15.000000,0.002971,0.696730,0.513672
16.000000,0.003170,0.695579,0.515625
17.000000,0.003368,0.704659,0.476562
18.000000,0.003566,0.700035,0.498047
19.000000,0.003764,0.699876,0.496094
20.000000,0.003962,0.698678,0.503906
21.000000,0.004160,0.692768,0.529297
22.000000,0.004358,0.706284,0.464844
23.000000,0.004556,0.701678,0.488281
24.000000,0.004754,0.700321,0.496094
25.000000,0.004952,0.696593,0.511719
26.000000,0.005151,0.701131,0.490234
27.000000,0.005349,0.696079,0.513672
28.000000,0.005547,0.701548,0.488281
29.000000,0.005745,0.690129,0.535156
30.000000,0.005943,0.698440,0.498047
31.000000,0.006141,0.699663,0.498047
32.000000,0.006339,0.701903,0.486328
33.000000,0.006537,0.698874,0.500000
34.000000,0.006735,0.700450,0.486328
35.000000,0.006933,0.698696,0.496094
36.000000,0.007132,0.701044,0.482422
37.000000,0.007330,0.689367,0.544922
38.000000,0.007528,0.693181,0.525391
39.000000,0.007726,0.696184,0.511719
40.000000,0.007924,0.697701,0.496094
41.000000,0.008122,0.693061,0.515625
42.000000,0.008320,0.697375,0.500000
43.000000,0.008518,0.692754,0.519531
44.000000,0.008716,0.704291,0.462891
45.000000,0.008914,0.698246,0.494141
46.000000,0.009113,0.693711,0.519531
47.000000,0.009311,0.695585,0.515625
48.000000,0.009509,0.705085,0.457031
49.000000,0.009707,0.697407,0.498047
50.000000,0.009905,0.695594,0.503906
51.000000,0.010103,0.694012,0.515625
52.000000,0.010301,0.695557,0.507812
53.000000,0.010499,0.706313,0.453125
54.000000,0.010697,0.698864,0.488281
55.000000,0.010895,0.701605,0.468750
56.000000,0.011094,0.697570,0.503906
57.000000,0.011292,0.702752,0.460938
58.000000,0.011490,0.693828,0.521484
59.000000,0.011688,0.697778,0.496094
60.000000,0.011886,0.698595,0.476562
61.000000,0.012084,0.698484,0.484375
62.000000,0.012282,0.699524,0.472656
63.000000,0.012480,0.702409,0.451172
64.000000,0.012678,0.695975,0.507812
65.000000,0.012876,0.690981,0.521484
66.000000,0.013074,0.693892,0.509766
67.000000,0.013273,0.695315,0.501953
68.000000,0.013471,0.693757,0.507812
69.000000,0.013669,0.699773,0.460938
70.000000,0.013867,0.694048,0.513672
71.000000,0.014065,0.692000,0.523438
72.000000,0.014263,0.690537,0.533203
73.000000,0.014461,0.695160,0.496094
74.000000,0.014659,0.689216,0.539062
75.000000,0.014857,0.695927,0.482422
76.000000,0.015055,0.693828,0.503906
77.000000,0.015254,0.697473,0.480469
78.000000,0.015452,0.693747,0.505859
79.000000,0.015650,0.693730,0.507812
80.000000,0.015848,0.691607,0.535156
81.000000,0.016046,0.695153,0.466797
82.000000,0.016244,0.692437,0.511719
83.000000,0.016442,0.694939,0.492188
84.000000,0.016640,0.694692,0.486328
85.000000,0.016838,0.693776,0.511719
86.000000,0.017036,0.692160,0.513672
87.000000,0.017235,0.696553,0.474609
88.000000,0.017433,0.696830,0.457031
89.000000,0.017631,0.693075,0.503906
90.000000,0.017829,0.691977,0.517578
91.000000,0.018027,0.693655,0.509766
92.000000,0.018225,0.692605,0.515625
93.000000,0.018423,0.691122,0.535156
94.000000,0.018621,0.694562,0.474609
95.000000,0.018819,0.694303,0.486328
96.000000,0.019017,0.691629,0.542969
97.000000,0.019216,0.691164,0.537109
98.000000,0.019414,0.694424,0.474609
99.000000,0.019612,0.692075,0.531250
100.000000,0.019810,0.693388,0.500000
101.000000,0.020008,0.692534,0.527344
102.000000,0.020206,0.694735,0.488281
103.000000,0.020404,0.694065,0.509766
104.000000,0.020602,0.694100,0.490234
105.000000,0.020800,0.692133,0.529297
106.000000,0.020998,0.695866,0.445312
107.000000,0.021197,0.693793,0.482422
108.000000,0.021395,0.693864,0.503906
109.000000,0.021593,0.693703,0.503906
110.000000,0.021791,0.693020,0.500000
111.000000,0.021989,0.691999,0.515625
112.000000,0.022187,0.692193,0.517578
113.000000,0.022385,0.692948,0.505859
114.000000,0.022583,0.692494,0.496094
115.000000,0.022781,0.694200,0.494141
116.000000,0.022979,0.694789,0.458984
117.000000,0.023177,0.693921,0.496094
118.000000,0.023376,0.692848,0.519531
119.000000,0.023574,0.692074,0.525391
120.000000,0.023772,0.693158,0.521484
121.000000,0.023970,0.691469,0.515625
122.000000,0.024168,0.694487,0.511719
123.000000,0.024366,0.694023,0.507812
124.000000,0.024564,0.693768,0.519531
125.000000,0.024762,0.693016,0.492188
126.000000,0.024960,0.694278,0.490234
127.000000,0.025158,0.694659,0.470703
128.000000,0.025357,0.693167,0.486328
129.000000,0.025555,0.691995,0.523438
130.000000,0.025753,0.690987,0.537109
131.000000,0.025951,0.693515,0.492188
132.000000,0.026149,0.692338,0.542969
133.000000,0.026347,0.693349,0.513672
