iteration,epoch,loss,accuracy
1.000000,0.000198,0.693659,0.503906
2.000000,0.000396,0.695999,0.458984
3.000000,0.000594,0.695340,0.474609
4.000000,0.000792,0.693062,0.505859
5.000000,0.000990,0.692572,0.521484
6.000000,0.001189,0.693898,0.503906
7.000000,0.001387,0.692505,0.515625
8.000000,0.001585,0.694982,0.468750
9.000000,0.001783,0.695826,0.464844
10.000000,0.001981,0.693461,0.507812
11.000000,0.002179,0.692707,0.500000
12.000000,0.002377,0.693808,0.468750
13.000000,0.002575,0.691919,0.539062
14.000000,0.002773,0.694160,0.472656
15.000000,0.002971,0.692899,0.507812
16.000000,0.003170,0.693615,0.482422
17.000000,0.003368,0.693450,0.484375
18.000000,0.003566,0.693974,0.470703
19.000000,0.003764,0.693297,0.496094
20.000000,0.003962,0.693158,0.488281
21.000000,0.004160,0.693444,0.505859
22.000000,0.004358,0.692763,0.537109
23.000000,0.004556,0.692607,0.511719
24.000000,0.004754,0.692144,0.517578
25.000000,0.004952,0.694050,0.457031
26.000000,0.005151,0.693568,0.498047
27.000000,0.005349,0.693332,0.503906
28.000000,0.005547,0.692465,0.527344
29.000000,0.005745,0.693852,0.474609
30.000000,0.005943,0.693866,0.451172
31.000000,0.006141,0.692275,0.511719
32.000000,0.006339,0.693391,0.486328
33.000000,0.006537,0.692331,0.505859
34.000000,0.006735,0.693258,0.509766
35.000000,0.006933,0.693065,0.500000
36.000000,0.007132,0.693552,0.484375
37.000000,0.007330,0.693600,0.457031
38.000000,0.007528,0.692319,0.548828
39.000000,0.007726,0.693859,0.470703
40.000000,0.007924,0.692588,0.507812
41.000000,0.008122,0.693258,0.466797
42.000000,0.008320,0.693409,0.488281
43.000000,0.008518,0.693462,0.503906
44.000000,0.008716,0.692521,0.513672
45.000000,0.008914,0.692372,0.529297
46.000000,0.009113,0.692775,0.515625
47.000000,0.009311,0.693407,0.500000
48.000000,0.009509,0.693045,0.474609
49.000000,0.009707,0.693228,0.519531
50.000000,0.009905,0.692617,0.519531
51.000000,0.010103,0.692350,0.537109
52.000000,0.010301,0.692705,0.480469
53.000000,0.010499,0.693958,0.519531
54.000000,0.010697,0.692896,0.535156
55.000000,0.010895,0.692526,0.498047
56.000000,0.011094,0.692489,0.521484
57.000000,0.011292,0.692489,0.507812
58.000000,0.011490,0.692756,0.507812
59.000000,0.011688,0.692053,0.513672
60.000000,0.011886,0.692835,0.525391
61.000000,0.012084,0.692947,0.498047
62.000000,0.012282,0.691958,0.533203
63.000000,0.012480,0.693835,0.474609
64.000000,0.012678,0.693599,0.494141
65.000000,0.012876,0.691713,0.515625
66.000000,0.013074,0.693401,0.472656
67.000000,0.013273,0.693541,0.447266
68.000000,0.013471,0.692954,0.517578
69.000000,0.013669,0.692914,0.496094
70.000000,0.013867,0.691943,0.529297
71.000000,0.014065,0.692633,0.511719
72.000000,0.014263,0.693836,0.496094
73.000000,0.014461,0.693029,0.492188
74.000000,0.014659,0.693508,0.498047
75.000000,0.014857,0.691205,0.535156
76.000000,0.015055,0.693574,0.490234
77.000000,0.015254,0.693580,0.478516
78.000000,0.015452,0.692761,0.533203
79.000000,0.015650,0.693035,0.500000
80.000000,0.015848,0.693697,0.515625
81.000000,0.016046,0.694103,0.474609
82.000000,0.016244,0.692609,0.507812
83.000000,0.016442,0.693958,0.474609
84.000000,0.016640,0.691403,0.515625
85.000000,0.016838,0.693187,0.521484
86.000000,0.017036,0.693843,0.468750
87.000000,0.017235,0.694663,0.494141
88.000000,0.017433,0.691404,0.480469
89.000000,0.017631,0.693625,0.509766
90.000000,0.017829,0.691856,0.521484
91.000000,0.018027,0.692782,0.548828
92.000000,0.018225,0.692109,0.515625
93.000000,0.018423,0.694190,0.501953
94.000000,0.018621,0.692684,0.509766
95.000000,0.018819,0.693956,0.511719
96.000000,0.019017,0.692879,0.505859
97.000000,0.019216,0.691714,0.523438
98.000000,0.019414,0.692737,0.498047
99.000000,0.019612,0.692758,0.498047
100.000000,0.019810,0.690604,0.558594
