iteration,epoch,loss,accuracy
1.000000,0.000198,0.695162,0.533203
2.000000,0.000396,0.707227,0.494141
3.000000,0.000594,0.702796,0.507812
4.000000,0.000792,0.701537,0.511719
5.000000,0.000990,0.708516,0.490234
6.000000,0.001189,0.701590,0.511719
7.000000,0.001387,0.699000,0.519531
8.000000,0.001585,0.714169,0.470703
9.000000,0.001783,0.702730,0.507812
10.000000,0.001981,0.705120,0.498047
11.000000,0.002179,0.695541,0.529297
12.000000,0.002377,0.713061,0.472656
13.000000,0.002575,0.709922,0.482422
14.000000,0.002773,0.706589,0.494141
15.000000,0.002971,0.707656,0.490234
16.000000,0.003170,0.692230,0.541016
17.000000,0.003368,0.710898,0.478516
18.000000,0.003566,0.698219,0.519531
19.000000,0.003764,0.700893,0.511719
20.000000,0.003962,0.699885,0.513672
21.000000,0.004160,0.711161,0.476562
22.000000,0.004358,0.699637,0.513672
23.000000,0.004556,0.704126,0.498047
24.000000,0.004754,0.698352,0.519531
25.000000,0.004952,0.710449,0.480469
26.000000,0.005151,0.701485,0.509766
27.000000,0.005349,0.711058,0.476562
28.000000,0.005547,0.693768,0.533203
29.000000,0.005745,0.706518,0.488281
30.000000,0.005943,0.714343,0.462891
31.000000,0.006141,0.702243,0.501953
32.000000,0.006339,0.708012,0.486328
33.000000,0.006537,0.704590,0.496094
34.000000,0.006735,0.706677,0.486328
35.000000,0.006933,0.702770,0.501953
36.000000,0.007132,0.703755,0.496094
37.000000,0.007330,0.714418,0.458984
38.000000,0.007528,0.697325,0.523438
39.000000,0.007726,0.713399,0.460938
40.000000,0.007924,0.693839,0.531250
41.000000,0.008122,0.702372,0.505859
42.000000,0.008320,0.703882,0.496094
43.000000,0.008518,0.712709,0.460938
44.000000,0.008716,0.696429,0.521484
45.000000,0.008914,0.690521,0.542969
46.000000,0.009113,0.705645,0.490234
47.000000,0.009311,0.708404,0.480469
48.000000,0.009509,0.696114,0.525391
49.000000,0.009707,0.704983,0.486328
50.000000,0.009905,0.693691,0.531250
51.000000,0.010103,0.700481,0.505859
52.000000,0.010301,0.698244,0.515625
53.000000,0.010499,0.695738,0.523438
54.000000,0.010697,0.703916,0.494141
55.000000,0.010895,0.705911,0.484375
56.000000,0.011094,0.707897,0.476562
57.000000,0.011292,0.712458,0.458984
58.000000,0.011490,0.703227,0.496094
59.000000,0.011688,0.706188,0.482422
60.000000,0.011886,0.705790,0.484375
61.000000,0.012084,0.701808,0.492188
62.000000,0.012282,0.708156,0.474609
63.000000,0.012480,0.700866,0.501953
64.000000,0.012678,0.693137,0.535156
65.000000,0.012876,0.698084,0.511719
66.000000,0.013074,0.699918,0.509766
67.000000,0.013273,0.688879,0.550781
68.000000,0.013471,0.709318,0.466797
69.000000,0.013669,0.697217,0.519531
70.000000,0.013867,0.695195,0.527344
71.000000,0.014065,0.709124,0.466797
72.000000,0.014263,0.706519,0.478516
73.000000,0.014461,0.694360,0.527344
74.000000,0.014659,0.687302,0.556641
75.000000,0.014857,0.702236,0.490234
76.000000,0.015055,0.700294,0.503906
77.000000,0.015254,0.700218,0.500000
78.000000,0.015452,0.709127,0.466797
79.000000,0.015650,0.696801,0.513672
80.000000,0.015848,0.706392,0.474609
81.000000,0.016046,0.703156,0.484375
82.000000,0.016244,0.709998,0.462891
83.000000,0.016442,0.688502,0.556641
